name= Base | position= (100,100) : 101 : 101 | Health=10000 Placesd
name= Vally | position= (100,250) : 300 : 5 Placesd
name= river | position= (0,260) : 300 : 5 Placesd
attacker: name= Tesla Tank  | position= (100,270) : 41 : 41 | Health=1000 Placesd
attacker: name= Tesla Tank 1 | position= (100,270) : 41 : 41 | Health=1000 miss placed so removed 
defender: name= rocket Tank  | position= (100,205) : 21 : 21 | Health=1000 Placesd
attacker: name= Tesla Tank  | position= (100,269) : 41 : 41 | Health=1000  < moved >  From (100,270)
attacker: name= Black Eagle  | position= (100,269) : 41 : 41 | Health=1000  < moved >  From (100,270)
attacker: name= Tesla Tank  | position= (100,268) : 41 : 41 | Health=1000  < moved >  From (100,269)
attacker: name= Tesla Tank  | position= (100,267) : 41 : 41 | Health=1000  < moved >  From (100,268)
attacker: name= Black Eagle  | position= (100,268) : 41 : 41 | Health=1000  < moved >  From (100,269)
attacker: name= Tesla Tank  | position= (100,266) : 41 : 41 | Health=1000  < moved >  From (100,267)
attacker: name= Tesla Tank  | position= (100,265) : 41 : 41 | Health=1000  < moved >  From (100,266)
attacker: name= Black Eagle  | position= (100,267) : 41 : 41 | Health=1000  < moved >  From (100,268)
attacker: name= Tesla Tank  | position= (100,264) : 41 : 41 | Health=1000  < moved >  From (100,265)
attacker: name= Tesla Tank  | position= (100,263) : 41 : 41 | Health=1000  < moved >  From (100,264)
attacker: name= Black Eagle  | position= (100,266) : 41 : 41 | Health=1000  < moved >  From (100,267)
attacker: name= Black Eagle  | position= (100,265) : 41 : 41 | Health=1000  < moved >  From (100,266)
attacker: name= Tesla Tank  | position= (100,262) : 41 : 41 | Health=1000  < moved >  From (100,263)
attacker: name= Black Eagle  | position= (100,264) : 41 : 41 | Health=1000  < moved >  From (100,265)
attacker: name= Black Eagle  | position= (100,263) : 41 : 41 | Health=1000  < moved >  From (100,264)
attacker: name= Tesla Tank  | position= (100,261) : 41 : 41 | Health=1000  < moved >  From (100,262)
attacker: name= Black Eagle  | position= (100,262) : 41 : 41 | Health=1000  < moved >  From (100,263)
attacker: name= Black Eagle  | position= (100,261) : 41 : 41 | Health=1000  < moved >  From (100,262)
attacker: name= Tesla Tank  | position= (100,260) : 41 : 41 | Health=1000  < moved >  From (100,261)
attacker: name= Black Eagle  | position= (100,260) : 41 : 41 | Health=1000  < moved >  From (100,261)
attacker: name= Tesla Tank  | position= (100,259) : 41 : 41 | Health=1000  < moved >  From (100,260)
attacker: name= Tesla Tank  | position= (100,258) : 41 : 41 | Health=1000  < moved >  From (100,259)
attacker: name= Black Eagle  | position= (100,259) : 41 : 41 | Health=1000  < moved >  From (100,260)
attacker: name= Tesla Tank  | position= (100,257) : 41 : 41 | Health=1000  < moved >  From (100,258)
attacker: name= Tesla Tank  | position= (100,256) : 41 : 41 | Health=1000  < moved >  From (100,257)
attacker: name= Black Eagle  | position= (100,258) : 41 : 41 | Health=1000  < moved >  From (100,259)
attacker: name= Tesla Tank  | position= (100,255) : 41 : 41 | Health=1000  < moved >  From (100,256)
attacker: name= Tesla Tank  | position= (99,255) : 41 : 41 | Health=1000  < moved >  From (100,255)
attacker: name= Black Eagle  | position= (100,257) : 41 : 41 | Health=1000  < moved >  From (100,258)
attacker: name= Tesla Tank  | position= (98,255) : 41 : 41 | Health=1000  < moved >  From (99,255)
attacker: name= Tesla Tank  | position= (97,255) : 41 : 41 | Health=1000  < moved >  From (98,255)
attacker: name= Black Eagle  | position= (100,256) : 41 : 41 | Health=1000  < moved >  From (100,257)
attacker: name= Tesla Tank  | position= (96,255) : 41 : 41 | Health=1000  < moved >  From (97,255)
attacker: name= Tesla Tank  | position= (95,255) : 41 : 41 | Health=1000  < moved >  From (96,255)
attacker: name= Black Eagle  | position= (100,255) : 41 : 41 | Health=1000  < moved >  From (100,256)
attacker: name= Tesla Tank  | position= (94,255) : 41 : 41 | Health=1000  < moved >  From (95,255)
attacker: name= Tesla Tank  | position= (93,255) : 41 : 41 | Health=1000  < moved >  From (94,255)
attacker: name= Black Eagle  | position= (100,254) : 41 : 41 | Health=1000  < moved >  From (100,255)
attacker: name= Tesla Tank  | position= (92,255) : 41 : 41 | Health=1000  < moved >  From (93,255)
attacker: name= Tesla Tank  | position= (91,255) : 41 : 41 | Health=1000  < moved >  From (92,255)
attacker: name= Black Eagle  | position= (100,253) : 41 : 41 | Health=1000  < moved >  From (100,254)
attacker: name= Tesla Tank  | position= (90,255) : 41 : 41 | Health=1000  < moved >  From (91,255)
attacker: name= Tesla Tank  | position= (89,255) : 41 : 41 | Health=1000  < moved >  From (90,255)
